Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2)),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2022,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,20,,,,,,349,,,3,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,21,,,,,,345,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,22,,,,,,342,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,24,,,,,,341,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,26,,,,,,343,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,15,,,,,,28,,,,,,344,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,07:00,,,36,2,,107,2,,32,2,,,,,,,,,,,,,,,,,,,,15,,,,,,29,,,,,,346,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,08:00,,,228,2,,608,2,,71,2,,,,,,,,,,,,,,,,,,,,15,,,,,,27,,,,,,349,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,09:00,,,459,2,,826,2,,83,2,,,,,,,,,,,,,,,,,,,,17,,,,,,23,,,,,,355,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,10:00,,,652,2,,898,2,,101,2,,,,,,,,,,,,,,,,,,,,21,,,,,,20,,,,,,1,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,11:00,,,783,2,,911,2,,124,2,,,,,,,,,,,,,,,,,,,,23,,,,,,17,,,,,,5,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,12:00,,,848,2,,906,2,,144,2,,,,,,,,,,,,,,,,,,,,25,,,,,,14,,,,,,5,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,13:00,,,846,2,,927,2,,132,2,,,,,,,,,,,,,,,,,,,,26,,,,,,13,,,,,,359,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,14:00,,,756,2,,885,2,,133,2,,,,,,,,,,,,,,,,,,,,27,,,,,,12,,,,,,352,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,15:00,,,588,2,,775,2,,136,2,,,,,,,,,,,,,,,,,,,,28,,,,,,11,,,,,,346,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,16:00,,,406,2,,723,2,,106,2,,,,,,,,,,,,,,,,,,,,28,,,,,,12,,,,,,342,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,17:00,,,173,2,,468,2,,74,2,,,,,,,,,,,,,,,,,,,,27,,,,,,12,,,,,,341,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,18:00,,,16,2,,72,2,,16,2,,,,,,,,,,,,,,,,,,,,26,,,,,,13,,,,,,341,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,19:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,24,,,,,,15,,,,,,343,,,4,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,20:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,24,,,,,,16,,,,,,345,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,21:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,22,,,,,,17,,,,,,347,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,22:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,20,,,,,,18,,,,,,344,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/01/2022,23:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,20,,,,,,20,,,,,,342,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,00:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,23,,,,,,340,,,5,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,01:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,26,,,,,,341,,,6,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,02:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,18,,,,,,29,,,,,,342,,,6,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,03:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,33,,,,,,344,,,6,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,04:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,16,,,,,,37,,,,,,346,,,6,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,05:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,15,,,,,,41,,,,,,347,,,6,,,,,,,,,,,,,,,0.17,,,,,,
01/02/2022,06:00,,,0,2,,0,2,,0,2,,,,,,,,,,,,,,,,,,,,14,,,,,,45,,,,,,350,,,6,,,,,,,,,,,,,,,0.17,,,,,,
